"player","total_goals","total_assists","goal_contributions"
"Brennan Johnson",2,1,3
"Konstantinos Mavropanos",3,0,3
"Ladislav Krejčí",2,1,3
"Milos Kerkez",2,1,3
"Joelinton",2,1,3
"Dan Burn",1,2,3
"Piero Hincapié",1,2,3
"Mason Mount",3,0,3
"James Justin",2,1,3
"Dominic Solanke",3,0,3
"Trai Hume",2,1,3
"Tyrick Mitchell",1,2,3
"Saša Lukić",1,2,3
"Rodrigo Gomes",3,0,3
"Jayden Bogle",1,2,3
"Aaron Wan-Bissaka",0,2,2
"Ryan Christie",2,0,2
"Eliezer Mayenda",2,0,2
"Lewis Hall",1,1,2
"Kyle Walker",0,2,2
"João Gomes",1,1,2
"Justin Kluivert",2,0,2
"Joe Rodon",2,0,2
"Luke Shaw",1,1,2
"Marshall Munetsi",1,1,2
"Dilane Bakwa",0,2,2
"Ryan Yates",0,2,2
"Sepp van den Berg",0,2,2
"Tammy Abraham",2,0,2
"Armando Broja",1,1,2
"Nicolás Domínguez",1,1,2
"Jamie Gittens",0,2,2
"David Møller Wolfe",0,2,2
"Adam Smith",0,2,2
"Omar Alderete",1,1,2
"Amadou Onana",2,0,2
"Nicolò Savona",2,0,2
"Ethan Ampadu",1,1,2
"Sven Botman",1,1,2
"Dan Ndoye",1,1,2
"Conor Gallagher",1,1,2
"Sávio",1,1,2
"Jefferson Lerma",0,2,2
"Randal Kolo Muani",1,1,2
"Rodrigo Bentancur",1,1,2
"Tom Cairney",2,0,2
"Jean-Ricner Bellegarde",1,1,2
"Daniel Ballard",2,0,2
"Jadon Sancho",0,2,2
"Joe Willock",0,2,2
"Chris Rigg",1,1,2
"Rodrigo Muniz",1,1,2
"Rayan Aït-Nouri",0,2,2
"Rúben Dias",2,0,2
"Brajan Gruda",1,1,2
"Ao Tanaka",2,0,2
"Joe Gomez",0,2,2
"Stefanos Tzimas",1,1,2
"Kevin",1,1,2
"James Milner",1,1,2
"Jake O'Brien",1,1,2
"Eddie Nketiah",2,0,2
"Sandro Tonali",0,2,2
"Michael Kayode",1,1,2
"Wilson Odobert",0,2,2
"Florentino Luís",0,2,2
"Tim Iroegbunam",0,2,2
"Olivier Boscagli",0,1,1
"Reiss Nelson",0,1,1
"Andrew Robertson",1,0,1
"Morato",1,0,1
"Lorenzo Lucca",1,0,1
"Ben Davies",1,0,1
"Carlos Alcaraz",0,1,1
"Harrison Reed",1,0,1
"Ferdi Kadioglu",1,0,1
"Freddie Potts",0,1,1
"Andrey Santos",1,0,1
"Sander Berge",0,1,1
"Ben Gannon-Doak",0,1,1
"Oliver Sonne",1,0,1
"Jackson Tchatchoua",0,1,1
"Douglas Luiz",1,0,1
"Fabio Carvalho",1,0,1
"Dwight McNeil",0,1,1
"Justin Devenny",1,0,1
"Wataru Endo",0,1,1
"André",1,0,1
"Simon Adingra",1,0,1
"James Mcatee",0,1,1
"Soungoutou Magassa",1,0,1
"Enes Ünal",1,0,1
"Max Dowman",1,0,1
"Jarrad Branthwaite",1,0,1
"Mads Hermansen",0,1,1
"William Saliba",1,0,1
"Joshua Acheampong",1,0,1
"Wilfried Gnonto",0,1,1
"Kyle Walker-Peters",1,0,1
"Nathaniel Clyne",0,1,1
"Bertrand Traoré",1,0,1
"Fer López",0,1,1
"Lewis Dunk",1,0,1
"Kenny Tete",1,0,1
"Lewis Cook",0,1,1
"Yoane Wissa",1,0,1
"Kieran Trippier",0,1,1
"Reinildo Mandava",0,1,1
"Matt O'Riley",1,0,1
"Joachim Andersen",0,1,1
"James Ward-Prowse",0,1,1
"Liam Delap",1,0,1
"Pascal Struijk",0,1,1
"Axel Tuanzebe",1,0,1
"Ian Maatsen",0,1,1
"Leon Bailey",0,1,1
"Valentino Livramento",0,1,1
"Emiliano Martínez",0,1,1
"Jeremie Frimpong",0,1,1
"Tom Edozie",1,0,1
"Oscar Bobb",0,1,1
"Frank Onyeka",0,1,1
"Robert Sánchez",0,1,1
"Rodri",1,0,1
"Victor Lindelöf",0,1,1
"Antonee Robinson",1,0,1
"Noah Sadiki",0,1,1
"Merlin Röhl",1,0,1
"Jean-Clair Todibo",0,1,1
"Pablo",0,1,1
"Joël Veltman",1,0,1
"Ayden Heaven",0,1,1
"Chadi Riad",0,1,1
"Conor Bradley",0,1,1
"Vitaliy Mykolenko",0,1,1
"Luke O'Nien",0,1,1
"Josh Laurent",1,0,1
"Ben White",0,1,1
"Rico Henry",0,1,1
"Anthony Elanga",0,1,1
"Hamed Junior Traorè",0,1,1
"Mateo Kovačić",0,1,1
"Rico Lewis",0,1,1
"Wesley Fofana",0,1,1
"Chris Richards",1,0,1
"Issa Diop",1,0,1
"Jhon Arias",1,0,1
"Alphonse Areola",0,1,1
"Ibrahima Konaté",1,0,1
"Destiny Udogie",0,1,1
"Matthijs de Ligt",1,0,1
"Marc Guiu",0,1,1
"Murillo",1,0,1
"Nicolás González",1,0,1
"Álex Jiménez",1,0,1
"Calvin Bassey",1,0,1
"Kristoffer Ajer",0,1,1
"Jacob Bruun Larsen",0,1,1
"Hjalmar Ekdal",0,0,0
"Nathan Aké",0,0,0
"Max Alleyne",0,0,0
"Ashley Barnes",0,0,0
"Souza",0,0,0
"Jack Fletcher",0,0,0
"Myles Peart-Harris",0,0,0
"Sebastiaan Bornauw",0,0,0
"Bashir Humphreys",0,0,0
"George Earthy",0,0,0
"Lucas Perri",0,0,0
"Alex Murphy",0,0,0
"Filip Jørgensen",0,0,0
"Andy Irving",0,0,0
"Roméo Lavia",0,0,0
"Đorđe Petrović",0,0,0
"Romelle Donovan",0,0,0
"Sean Neave",0,0,0
"Angus Gunn",0,0,0
"Lisandro Martínez",0,0,0
"Bart Verbruggen",0,0,0
"Séamus Coleman",0,0,0
"Jamaldeen Jimoh",0,0,0
"Emmanuel Agbadou",0,0,0
"Joél Drakes-Thomas",0,0,0
"Joe Knight",0,0,0
"Noussair Mazraoui",0,0,0
"Christian Nørgaard",0,0,0
"Kaden Rodney",0,0,0
"Callum Marshall",0,0,0
"Jorrel Hato",0,0,0
"Tyler Dibling",0,0,0
"Bendito Mantato",0,0,0
"Guglielmo Vicario",0,0,0
"Cristhian Mosquera",0,0,0
"Robin Roefs",0,0,0
"Jonah Kusi-Asare",0,0,0
"George Hemmings",0,0,0
"Timothy Castagne",0,0,0
"Freddie Woodman",0,0,0
"Tom Watson",0,0,0
"Tyrone Mings",0,0,0
"Djed Spence",0,0,0
"Myles Lewis-Skelly",0,0,0
"John Stones",0,0,0
"Will Hughes",0,0,0
"Ki-Jana Hoever",0,0,0
"Bernd Leno",0,0,0
"Ezri Konsa",0,0,0
"Zach Abbott",0,0,0
"Igor",0,0,0
"Max Weiß",0,0,0
"Pedro Lima",0,0,0
"José Sá",0,0,0
"Arnaud Kalimuendo",0,0,0
"Gianluigi Donnarumma",0,0,0
"Caoimhín Kelleher",0,0,0
"Antonín Kinský",0,0,0
"Shea Lacey",0,0,0
"Benoît Badiashile",0,0,0
"Daniel James",0,0,0
"Harvey Elliott",0,0,0
"Nick Pope",0,0,0
"Radu Drăgușin",0,0,0
"Jaydon Amauri Banel",0,0,0
"Christantus Uche",0,0,0
"Jocelin Ta Bi",0,0,0
"Fabian Schär",0,0,0
"Jesse Derry",0,0,0
"Luca Netz",0,0,0
"Alisson",0,0,0
"Hákon Valdimarsson",0,0,0
"Jota Silva",0,0,0
"Mohamadou Kanté",0,0,0
"James Trafford",0,0,0
"Toti Gomes",0,0,0
"Shumaira Mheuka",0,0,0
"David Raya",0,0,0
"Daichi Kamada",0,0,0
"Manuel Ugarte",0,0,0
"Odsonne Édouard",0,0,0
"Harrison Armstrong",0,0,0
"Ezra Mayers",0,0,0
"Kepa Arrizabalaga",0,0,0
"James Maddison",0,0,0
"Niclas Füllkrug",0,0,0
"Sam Johnstone",0,0,0
"Jenson Seelt",0,0,0
"Lutsharel Geertruida",0,0,0
"Tawanda Chirewa",0,0,0
"Jun'ai Byfield",0,0,0
"Dean Henderson",0,0,0
"Dan Neil",0,0,0
"Martin Dúbravka",0,0,0
"Jair Cunha",0,0,0
"Max Kilman",0,0,0
"Gabriel Gudmundsson",0,0,0
"Joël Piroe",0,0,0
"Borna Sosa",0,0,0
"Oliver Scarles",0,0,0
"Tosin Adarabioyo",0,0,0
"Alex Tóth",0,0,0
"Jorge Cuenca",0,0,0
"Ben Winterburn",0,0,0
"Tyler Fletcher",0,0,0
"Daniel Bentley",0,0,0
"Mike Trésor",0,0,0
"Zeki Amdouni",0,0,0
"Luis Guilherme",0,0,0
"Arthur Masuaku",0,0,0
"Ethan Nwaneri",0,0,0
"Altay Bayındır",0,0,0
"Emil Krafth",0,0,0
"Dario Essugo",0,0,0
"Jerome Abbey",0,0,0
"Romaine Mundle",0,0,0
"Julio Soler",0,0,0
"Abdukodir Khusanov",0,0,0
"Jaydee Canvot",0,0,0
"Bradley Burrowes",0,0,0
"Walter Benítez",0,0,0
"Jamaal Lascelles",0,0,0
"Sam Byram",0,0,0
"Ola Aina",0,0,0
"Senne Lammens",0,0,0
"Nilson Angulo",0,0,0
"Josh Dasilva",0,0,0
"Melker Ellborg",0,0,0
"Facundo Buonanotte",0,0,0
"Sasa Kalajdzic",0,0,0
"Nikola Milenković",0,0,0
"Mamadou Sarr",0,0,0
"James Rowswell",0,0,0
"Giorgi Mamardashvili",0,0,0
"Antoni Milambo",0,0,0
"Bafodé Diakité",0,0,0
"Maxime Estève",0,0,0
"Carlos Baleba",0,0,0
"Ethan Pinnock",0,0,0
"John",0,0,0
"Rio Cardines",0,0,0
"Kaye Furo",0,0,0
"Levi Colwill",0,0,0
"Adama Traoré",0,0,0
"Axel Disasi",0,0,0
"Alysson Edward",0,0,0
"Jordan Pickford",0,0,0
"Dane Scarlett",0,0,0
"Dennis Cirkin",0,0,0
"Romain Esse",0,0,0
"Oleksandr Zinchenko",0,0,0
"Guido Rodríguez",0,0,0
"Kevin Danso",0,0,0
"Joe Worrall",0,0,0
"Diego Coppola",0,0,0
"Angel Gomes",0,0,0
"Tyler Fredricson",0,0,0
"Lamare Bogarde",0,0,0
"Yves Bissouma",0,0,0
"Divine Mukasa",0,0,0
"Veljko Milosavljević",0,0,0
"Trey Nyoni",0,0,0
"Harry Howell",0,0,0
"Matt Doherty",0,0,0
"Pau Torres",0,0,0
"Marco Bizot",0,0,0
"Lucas",0,0,0
"Andrés García",0,0,0
"Jack Harrison",0,0,0
"Nayef Aguerd",0,0,0
"Stefan Ortega",0,0,0
"Karl Darlow",0,0,0
"Tyrique George",0,0,0
"Aaron Hickey",0,0,0
"Matz Sels",0,0,0
"Patrick Roberts",0,0,0
"Nathan Patterson",0,0,0
"Leny Yoro",0,0,0
"Solly March",0,0,0
"Tyrell Malacia",0,0,0
"Callum Olusesi",0,0,0
"Nehemiah Oriola",0,0,0
"Yerson Mosquera",0,0,0
"Aaron Ramsdale",0,0,0
